dir,image_size,repo_id,transform,distance_metric,file,distance,distance_pos,complexity,is_real,expected_error,normalized_score
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0111.png,-0.01226043701171875,0.01226043701171875,0.191162109375,False,0.05875526626428258,0.20866958472404862
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0112.png,-0.00434112548828125,0.00434112548828125,0.14013671875,False,0.04929703040744975,0.08806058808007268
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0113.png,-0.005100250244140625,0.005100250244140625,0.133544921875,False,0.04823026472790497,0.1057479214122939
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0114.png,-0.005523681640625,0.005523681640625,0.0914306640625,False,0.0422525408989068,0.1307301649347179
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0115.png,-0.01419830322265625,0.01419830322265625,0.2037353515625,False,0.06141245975888368,0.23119580746971108
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0116.png,-0.0102386474609375,0.0102386474609375,0.1646728515625,False,0.05357969058893236,0.1910919482437705
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0117.png,-0.007465362548828125,0.007465362548828125,0.09405517578125,False,0.04258273832740615,0.17531429029831636
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0118.png,-0.0107574462890625,0.0107574462890625,0.12005615234375,False,0.04615796690155688,0.23305719491513519
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0119.png,-0.00673675537109375,0.00673675537109375,0.077880859375,False,0.04063730574914924,0.16577760869972996
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0120.png,-0.01325225830078125,0.01325225830078125,0.08428955078125,False,0.04138257769117294,0.3202376226942481
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0121.png,-0.0120086669921875,0.0120086669921875,0.12396240234375,False,0.046742802133844644,0.25690943726055504
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0122.png,-0.01087188720703125,0.01087188720703125,0.1881103515625,False,0.05812979054639357,0.18702780630792679
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0123.png,-0.0118865966796875,0.0118865966796875,0.07586669921875,False,0.04041000596530196,0.29414983729262306
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0124.png,-0.0117645263671875,0.0117645263671875,0.14013671875,False,0.04929703040744975,0.2386457413347488
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0125.png,-0.0049285888671875,0.0049285888671875,0.0611572265625,False,0.03885049411884854,0.12686039081279965
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0126.png,-0.0104217529296875,0.0104217529296875,0.21484375,False,0.06386751381573422,0.16317768309810154
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0127.png,-0.0133209228515625,0.0133209228515625,0.130126953125,False,0.04769109967754018,0.2793167476034507
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0128.png,-0.008392333984375,0.008392333984375,0.1300048828125,False,0.04767202026745423,0.17604317873023856
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0129.png,-0.0114288330078125,0.0114288330078125,0.14501953125,False,0.050110109344456144,0.22807439770787313
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0130.png,-0.00632476806640625,0.00632476806640625,0.0828857421875,False,0.04121645825104947,0.15345248802995357
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0131.png,-0.0124969482421875,0.0124969482421875,0.242919921875,False,0.07052190087024483,0.17720662784148397
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0132.png,-0.005794525146484375,0.005794525146484375,0.1405029296875,False,0.049357335817819606,0.11739947163826381
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0133.png,-0.0110015869140625,0.0110015869140625,0.15380859375,False,0.05162272631285986,0.21311518588513348
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0134.png,-0.006404876708984375,0.006404876708984375,0.08154296875,False,0.04105906759979848,0.1559917719372617
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0135.png,-0.013763427734375,0.013763427734375,0.18701171875,False,0.05790648150445011,0.2376837165165575
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0136.png,-0.01255035400390625,0.01255035400390625,0.1806640625,False,0.05663555524487855,0.22159849849871746
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0137.png,-0.01113128662109375,0.01113128662109375,0.08074951171875,False,0.04096675627866156,0.27171510835217694
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0138.png,-0.011505126953125,0.011505126953125,0.127685546875,False,0.04731182403225487,0.24317656713639643
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0139.png,-0.00417327880859375,0.00417327880859375,0.130126953125,False,0.04769109967754018,0.08750644956419676
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0140.png,-0.0103302001953125,0.0103302001953125,0.08905029296875,False,0.041957925007290786,0.24620379090523378
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0141.png,-0.00934600830078125,0.00934600830078125,0.11834716796875,False,0.04590602066201856,0.203590033856145
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0142.png,-0.011474609375,0.011474609375,0.201416015625,False,0.06091258511509123,0.18837830233800304
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0143.png,-0.004276275634765625,0.004276275634765625,0.06884765625,False,0.039643795204337556,0.10786746356458182
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0144.png,-0.01285552978515625,0.01285552978515625,0.178955078125,False,0.05629900595391721,0.22834381473234128
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0145.png,-0.013824462890625,0.013824462890625,0.1138916015625,False,0.04526037824334418,0.3054429376682899
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0146.png,-0.01018524169921875,0.01018524169921875,0.19775390625,False,0.0601322553037281,0.16938067012077096
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0147.png,-0.0126800537109375,0.0126800537109375,0.1531982421875,False,0.0515156447667653,0.2461398623339736
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0148.png,-0.0178985595703125,0.0178985595703125,0.0784912109375,False,0.040706838681570934,0.43969416810585327
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0149.png,-0.00865936279296875,0.00865936279296875,0.103759765625,False,0.04385256583786798,0.19746536211778823
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0150.png,-0.0167083740234375,0.0167083740234375,0.2093505859375,False,0.062640878748425,0.26673275275305114
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0151.png,-0.01180267333984375,0.01180267333984375,0.2305908203125,False,0.06752046673248538,0.1748014181626689
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0152.png,-0.00592803955078125,0.00592803955078125,0.131103515625,False,0.04784417312681519,0.12390306203157614
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0153.png,-0.00951385498046875,0.00951385498046875,0.1627197265625,False,0.05322076871829627,0.17876207370898178
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0154.png,-0.00637054443359375,0.00637054443359375,0.0789794921875,False,0.040762684111802006,0.15628373284057828
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0155.png,-0.01320648193359375,0.01320648193359375,0.1571044921875,False,0.0522062246848196,0.2529675726089019
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0156.png,-0.01076507568359375,0.01076507568359375,0.1610107421875,False,0.05290926806491636,0.20346294850243773
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0157.png,-0.0057525634765625,0.0057525634765625,0.05291748046875,False,0.03805413585822874,0.1511678913953995
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0158.png,-0.0123748779296875,0.0123748779296875,0.126953125,False,0.04719899070394205,0.2621852235635614
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0159.png,-0.00693511962890625,0.00693511962890625,0.12237548828125,False,0.04650370965904586,0.14913046033860305
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0160.png,-0.008209228515625,0.008209228515625,0.08831787109375,False,0.04186820507196491,0.19607309416571875
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0161.png,-0.0121307373046875,0.0121307373046875,0.1173095703125,False,0.04575421718760923,0.26512828872029404
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0162.png,-0.0098419189453125,0.0098419189453125,0.155029296875,False,0.05183780225627277,0.1898598805685585
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0163.png,-0.004932403564453125,0.004932403564453125,0.06396484375,False,0.03913451315461625,0.12603717708115414
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0164.png,-0.01537322998046875,0.01537322998046875,0.22509765625,False,0.06622317698045302,0.23214274339339594
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0165.png,-0.01371002197265625,0.01371002197265625,0.13037109375,False,0.04772929501176102,0.2872454321665122
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0166.png,-0.0107574462890625,0.0107574462890625,0.2056884765625,False,0.06183681480524272,0.173965077647409
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0167.png,-0.01031494140625,0.01031494140625,0.07891845703125,False,0.04075569278309218,0.2530920394642202
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0168.png,-0.009918212890625,0.009918212890625,0.09307861328125,False,0.04245921691508339,0.23359387222004116
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0169.png,-0.01351165771484375,0.01351165771484375,0.1300048828125,False,0.04767202026745423,0.2834295177556841
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0170.png,-0.004825592041015625,0.004825592041015625,0.08026123046875,False,0.04091020491015074,0.11795570449020869
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0171.png,-0.0121002197265625,0.0121002197265625,0.1904296875,False,0.058604458325059124,0.20647268266599567
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0172.png,-0.005039215087890625,0.005039215087890625,0.10614013671875,False,0.044175781358326074,0.1140718948922644
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0173.png,-0.01171875,0.01171875,0.17578125,False,0.05568031494395029,0.21046486557765515
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0174.png,-0.006378173828125,0.006378173828125,0.0823974609375,False,0.04115905488806309,0.15496404972055838
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0175.png,-0.01216888427734375,0.01216888427734375,0.1734619140625,False,0.055233397842488666,0.2203175026828198
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0176.png,-0.01352691650390625,0.01352691650390625,0.1728515625,False,0.05511651835992519,0.24542400184953572
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0177.png,-0.007534027099609375,0.007534027099609375,0.06134033203125,False,0.038868820836428966,0.19383214971492704
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0178.png,-0.0091094970703125,0.0091094970703125,0.1295166015625,False,0.04759582434060694,0.1913927786001308
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0179.png,-0.007564544677734375,0.007564544677734375,0.1146240234375,False,0.04536539756518116,0.16674701609008521
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0180.png,-0.0111083984375,0.0111083984375,0.08294677734375,False,0.041223647364191124,0.26946665682836446
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0181.png,-0.0099945068359375,0.0099945068359375,0.121826171875,False,0.04642142612620032,0.21529943541085192
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0182.png,-0.01108551025390625,0.01108551025390625,0.1849365234375,False,0.05748736540460751,0.19283385446322376
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0183.png,-0.0075836181640625,0.0075836181640625,0.04681396484375,False,0.03749999418996158,0.2022298490406851
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0184.png,-0.0171661376953125,0.0171661376953125,0.2149658203125,False,0.0638950523138275,0.26866145458335566
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0185.png,-0.01273345947265625,0.01273345947265625,0.040069580078125,False,0.03692305622599088,0.3448647206970075
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0186.png,-0.01143646240234375,0.01143646240234375,0.2318115234375,False,0.06781210046520211,0.16864928713146687
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0187.png,-0.00965118408203125,0.00965118408203125,0.061553955078125,False,0.038890236619215035,0.2481647045897056
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0188.png,-0.021881103515625,0.021881103515625,0.08648681640625,False,0.04164582222122024,0.52540932916137
data\raw\generated\sd1-5,512,max,clean,lpips_vgg_2,0189.png,-0.00727081298828125,0.00727081298828125,0.10113525390625,False,0.04350156452997792,0.16713911480748622
